,SMILES,Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
880,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)N(=O)=O)C(=O)OC)C,Nitrendipine,39562-70-4,6.1,25.0,0.02,4.1,8.2,"Mikus G, Fischer C, Heuer B, Langen C, and Eichelbaum M (1987) Application of stable isotope methodology to study the pharmacokinetics, bioavailability, and metabolism of nitrendipine after i.v. and p.o. administration.  Br. J. Clin. Pharmacol. 24: 561-569.  Soons PA, DeBoer AG, Van Brummelen P, and Breimer DD (1989) Oral absorption ptrofile of nitrendipine in healthy subjects: a kinetic and dynamic study.  Br. J. Clin. Pharmacol. 27: 179-189.  Ramsch KD, Graefe KH, Scherline D, Sommer J, and Ziegler R (1986) Pharmacokinetics and metabolism of calcium-blocking agents nifedipine, nitrendipine, and nimodipine.  Am. J. Nephrol. 6(Suppl 1): 73-80.  ",,,1972,360.36,8,1,110.4,7,neutral,3.0,3.0
875,n1(c(=O)n(c(=O)cc1NCC[N@@](CCCc1ccc(cc1)[N+](=O)[O-])CCO)C)C,Nifekalant,130636-43-0,1.96,20.89,0.09,1.56,1.52,"ZHANG Heng, WANG Ben-jie, GUO Rui-chen. Pharmacokinetics of Nifekalant Hydrochloride in Chinese Healthy Volunteers. Chin Pharm J，2009, 44, 136-140.//ppb: Haruaki Nakaya and Hiroko Uemura, Electropharmacology of Nifekalant, a New Class III Antiarrhythmic Drug. Cardiovascular Drug Reviews, 1998, 16, 133-144.","PK calculated from tabulated data in the paper. Average of 0.3 and 0.4 mg/kg doses as HCl, N=8 each. Corrected for HCl salt weight. 65.2 kg average weight. ppb taken as the midpoint of values reported from reference 19 in Nakaya et al. The actual ref. (Kato et al 1997) could not be found.",,1980,405.45,10,2,122.6,11,cationic,1.2,0.5
939,Cc1ccc(cc1S(=O)(=O)N)Nc2nccc(n2)N(C)c3ccc4c(n(nc4c3)C)C,Pazopanib,4731-52-6,0.16,0.06,0.01,44.4,,Pazopanib Hydrochloride - EMA Approval Package. Accessed through Pharmapendium.,"70 kg assumed and MRT from VDss and clearance. The mean half-life after a single dose of 800 mg was
30.9 ±4 hours (VEG10003). This value is from an oral dose.",,2002,437.52,9,2,119.0,5,neutral,4.0,4.0
913,CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(=O)C)C(=O)O,Oseltamivir acid,187227-45-8,0.37,4.8,0.97,1.3,1.8,"He G, Massarella J, and Ward P (1999) Clinical pharmacokinetics of the progrug oseltamivir and its active metabolite Ro 64-0802. Clin. Pharmacokinet. 37: 471-484.",,,1996,284.35,6,3,101.6,6,zwitterionic,0.57,-1.7
762,c12c([nH]cc1CCNC(C)=O)ccc(c2)OC,Melatonin,73-31-4,1.1,16.5,0.39,1.1,1.1,"Rob L. DeMuro, Anne N. Nafziger, David E. Blask, Anne M. Menhinick and Joseph S. Bertino, Jr.  The Absolute Bioavailability of Oral Melatonin. J Clin Pharmacol 2000;40:781-784.//ppb:Cardinali DP, Lynch HJ, Wurtman RJ. Binding of melatonin to human and rat plasma proteins. Endocrinol. 1972, 91, 1213-1218.","Data digitized from Figure 1 
Reported data (Table 1):N=12 (6M, 6F), Avg body weight = 77.9 kg, 2 mg iv 3 min infusion, AUC = 1631.61 ng*min/mL, t1/2 59.5 min (1 h)// ppb: no significant differences between human and rat ppb. Concentration independent but temperature dependent: fu at 4 °C = 0.22",,1958,232.28,4,2,54.1,4,neutral,1.4,1.4
1338,n1c(=O)c2cc(CN(c3ccc(C(=O)N[C@@H](CCc4nnn[nH]4)C(=O)O)c(c3)F)CC#C)c(C)cc2[nH]c1C,ZD-9331,153537-73-6,0.53,0.29,0.01,30.38,78.5,"Maja JA de Jonge, B Glimelius, Jaap Verweij, C van Groening en, J Bonneterre, EGE de Vries, S Culine, J Young ,7 Rob Smith,  J Droz. E¡ects of impaired renal function on the pharmacokinetics and toxicity of i.v. ZD9331, a novel non-polyglutamated thymidylate synthase inhibitor, in adult patients with solid tumors. Anti-Cancer Drugs 2002, 13,  645–653",Plevitrexed. NSC 696259. Data from subject with normal renal function. N=10. 70 kg average weight assumed. MRT from clearance and VDss.,,1993,532.53,12,4,169.8,11,zwitterionic,2.4,-2.6
340,CC(C)(C)OC(=O)N[C@H]1CCCCC\C=C/[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C1=O)OC(=O)N4Cc5cccc(F)c5C4)C(=O)NS(=O)(=O)C6CC6,Danoprevir,850876-88-9,0.22,11.53,0.02,0.32,1.81,"Barbara J. Brennan, Agne`s Poirier, Sebastian Moreira, Peter N. Morcos, Petra Goelzer,  Rene´e Portmann, Jiney Asthappan, Christoph Funk, Patrick F. Smith.Characterization of the Transmembrane Transport and Absolute Bioavailability of the HCV Protease Inhibitor Danoprevir. Clin. Pharmacokin. 2015, 54, 237-249.//ppb: Gane EJ, Rouzier R, Stedman C, Wiercinska-Drapalo A, Horban A, Chang L, Zhang Y, Sampeur P, Nájera I, Smith P, Shulman NS, Tran JQ.Antiviral activity, safety, and pharmacokinetics of danoprevir/ritonavir plus PEG-IFN α-2a/RBV in hepatitis C patients. J Hepatol. 2011, 55, 972-979.","RO5190591. R 7227. N=12, 70 kg average weight assumed, 6 mg dose as 1 h infusion. Data digitized and PK parameters calculated via PKSolver. Reported AUC(0-inf) 122 ng.h.m-1; calculated 123. 9 ng.h.m-1. 1% difference.",Very low BA (1.15%) from iv and 100 mg po dose. ,2005,731.83,14,3,180.5,7,anionic,4.4,1.4
299,NC1CCN(C1)c2c(F)cc3C(=O)C(=CN(C4CC4)c3c2Cl)C(=O)O,Clinafloxacin,105956-97-6,1.9,4.7,0.96,6.7,5.4,"Randinitis EJ, Brodfuehrer JI, Eiseman I, and Vassos AB (2001) Pharmacokinetics of clinafloxacin after single and multiple doses.  Antimic. Agents Chemother. 45: 2529-2535.  Wise R, Ashby JP, and Andrews JM.  In vitro activity of PD 127,391, an enhanced-spectrum quinoline.    Antimic. Agents Chemother.  1988, 32: 1251-1256.",,,1986,365.79,6,2,86.9,3,zwitterionic,2.6,0.29
664,[H]OC([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]1[C@H]([C@@H]([C@@H](C(=O)O[H])O[C@@H]1O[C@@H]1CC[C@@]2(C)C3C(C=C4[C@H]5C[C@@](C)(CC[C@@]5(C)CC[C@]4(C)[C@@]3(C)CC[C@@H]2C1(C)C)C(=O)O[H])=O)O[H])O[H])O[H])O[H])O[H])=O,Isoglycirrhizinate (acid),691410-17-0,0.09,0.05,,30.9,23.1,"Sun L. et al. Phase I safety and pharmacokinetic study of magnesium isoglycyrrhizinate after single and multiple intravenous doses in Chinese healthy volunteers. J. Clin.Pharmacol. 2007, 47, 767-773."," CAS number reported is the one of the Mg salt. 1405-86-3 for the acid. N=9, 63 kg average weight, 30' inf.; 100 mg dose. Dosed as magnesium salt. Data (VDss) verified by plot (100 mg dose) digitization and PK analysis via Phoenix.",The acid (as well as glycyrrhizine) was reported in 1880.The 2003 ref. was found for the Mg salt.,1880,822.93,16,8,267.0,15,anionic,1.5,-7.5
877,CN1CCN(CC1)CC(=O)N(C)c2ccc(cc2)N/C(=C\3/c4ccc(cc4NC3=O)C(=O)OC)/c5ccccc5,Nintedanib,656247-17-5,15.0,19.9,0.02,12.6,9.5,"OFEV. PDR. Accessed January 20 2015. http://www.pdr3d.com/detail.php?c=135426. Same clearance, MRT and VDss, t1/2 data also reported in: Claudia Dallinger, Dirk Trommeshauser,  Kristell Marzin  Andre Liesener, Rolf Kaiser, and Peter Stopfer. Pharmacokinetic properties of nintedanib in healthy volunteers and patients with advanced cancer. Published ahead of print, April 20 2016. J. Clin. Pharmacol. 2016. DOI: 10.1002/jcph.752","70 kg average weight assumed. MRT from Clearance and VDss. Nintedanib follows bi-phasic disposition kinetics. After intravenous infusion, a high volume of distribution which was larger than total body volume (Vss: 1050 L) was observed.
The in vitro protein binding of nintedanib in human plasma was high, with a bound fraction of 97.8%. Serum albumin is considered to be the major binding protein. Nintedanib is preferentially distributed in plasma with a blood to plasma ratio of 0.87.
Elimination: The effective half-life of nintedanib in patients with IPF was 9.5 hours (gCV 31.9%). Total plasma clearance after intravenous infusion was high (CL: 1390 mL/min; gCV 28.8%). Urinary excretion of unchanged drug within 48 hours was about 0.05% of the dose after oral and about 1.4% of the dose after intravenous administration; the renal clearance was 20 mL/min.",,2001,539.62,9,2,94.2,8,cationic,3.8,3.4
