SMILES,log2VDss,log2VDss_pred,Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
CC1(C)\C(=C\C=C\C=C\C=C/C2=[N+](CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)\N(CCCCS(=O)(=O)O)c5ccc6ccccc6c15,-4.836501267717121,-3.2504085776468394,Indocyanine Green,3599-32-4,0.035,6.8,0.05,0.086,0.065,"Vanakoski J, Idanpaan-Heikkila JJ, and Seppala T (1996) Exposure to high environmental temperature in the sauna does not change plasma indocyanine green (ICG) clearance in healthy subjects.  Pharmacol. Toxicol. 78: 94-98.   IC-Green Product Label.",,Reported CAS number of Na salt. Structure without Na. CAS number of component: 28782-33-4,1958,752.98,8,1,117.8,14,anionic,5.4,3.1
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@]5(C2(C)C)[C@H]([C@@H]1OC(=O)[C@@H]([C@H](CC(C)C)NC(=O)OC(C)(C)C)O)OC(=O)O5)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)OC(=O)C,3.7897292513757694,2.5105853481491875,Ortataxel,186348-23-2,13.83,8.12,,28.39,30.1,"N. Ramnath, J. Hamm, G. Schwartz S. Holdenc,S.G. Eckhardt, M.R. Vredenburg,  R.J. Bernacki C. Lathiad, P. Kanter, P.J. CreavenA Phase I and Pharmacokinetic Study
of BAY59: A Novel Taxane. Oncology 2004;67:123–129","BAY 59-8862. SB-T 101131
 N=25 weight averaged across doses from 30 to 100 mg/m2. 70 kg average weight assumed. MRT froim VDss and clearance.",,1997,871.92,18,3,245.8,15,neutral,3.6,3.6
CCC#CC[C@H](C)[C@H](O)C#C[C@H]1[C@H](O)C[C@@H]2C\C(=C/COCC(=O)O)\C[C@H]12,-3.643856189774725,-2.286824468178109,Cicaprost,94079-80-8,0.08,3.8,,0.35,1.1,"Hildebrand M, Staks T, Schutt A, and Matthes H (1989) Pharmacokinetics of 3H-cicaprost in healthy volunteers.  Prostaglandins  37: 259-273.",VDss was calculated from MRT from a paper cited in the reference. ,,1984,374.47,5,3,87.0,10,anionic,2.6,-0.63
CCCCCCCCCCCC(=O)CC(=O)N[C@H]1[C@@H](OP(=O)(O)O)O[C@H](CO[C@@H]2O[C@H](COC)[C@@H](OP(=O)(O)O)[C@H](OCC[C@@H](CCCCCCC)OC)[C@H]2NC(=O)CCCCCCCCC\C=C/CCCCCC)[C@@H](O)[C@@H]1OCCCCCCCCCC,-4.380821783940931,-2.8044044669590256,Eritoran,185955-34-4,0.048,0.013,,62.0,51.0,"Wong YN, Rossignol D, Rose JR, Kao R, Carter A, and Lynn M (2003) Safety, pharmacokinetics, and pharmacodynamics of E5564, a lipid A antagonist, during an ascending single-dose clinical study.  J. Clin. Pharmacol. 43: 735-742.  Rossignol DP, Wasan KM, Choo E Yau E, Wong N, Rose J, Moran J, and Lynn M (2004) Safety, pharmacokinetics, pharmacodynamics, and plasma lipoprotein distribution of eritoran (E5564) during continuous intravenous infusion into healthy volunteers.    Antimic. Agents Chemother. 48: 3233-3240.",Protein binding driven by lipoproteins--not reported directly,,1996,1313.66,21,7,293.6,59,anionic,9.0,1.7
CCCCCNC(=O)c1coc(n1)[C@H]2[C@@H](Cc3ccccc3CCC(=O)O)[C@@H]4CC[C@H]2O4,2.137503523749935,0.9687474494136724,Ifetroban,143443-90-7,4.4,6.4,,11.0,22.0,"Dockens RC, Santone KS, Mitroka JG, Morrison RA, Jemal M, Greene DS, and Barbhaiya RH (2000) Disposition of radiolabeled ifetroban in rats, dogs, monkeys, and humans.  Drug Metab. Dispos. 28: 973-980.",,,1992,440.53,7,2,102.0,11,anionic,4.0,1.2
CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,1.263034405833794,0.025971159619551,Alprostadil,745-65-3,2.4,45.4,,0.9,1.9,"W. Cawello , H. Schweel , R. Miiller, R. Bonn, H.W. Seyberth. Metabolism and pharmacokinetics of prostaglandin E1 administered
by intravenous infusion in human subjects. Eur J Clin Pharmacol (1994) 46:275-277","PGE1. Plot available for digitization. Calculation perforrmed via Phoenix after digitization. Dose 60 ug 2h of infusion, N=12",,1956,354.48,5,3,94.8,13,anionic,3.5,0.93
CCCCc1nc(c(c(=O)n1Cc2ccc(cc2)c3ccccc3c4[nH]nnn4)CC(=S)N(C)C)C,-0.7369655941662062,0.414836963909782,Fimasartan,247257-48-3,0.6,9.6,,1.1,5.5,"Jong-Lyul Ghim, Soo Heui Paik,  M. Hasanuzzaman, Yong Ha Chi, Hyang-Ki Choi,  Dong-Hyun Kim,  Jae-Gook Shin.  Absolute Bioavailability and Pharmacokinetics of the Angiotensin II Receptor Antagonist Fimasartan in Healthy Subjects. J. Clin. Pharmacol. 2016, 56, 576-580.","N=16, 30 mg dose, 1 h infusion. No average weight reported but data available on weight basis. ",,1999,501.65,8,1,92.6,10,cationic,4.1,0.71
CCCc1nc2c(C)cc(cc2n1Cc3ccc(cc3)c4ccccc4C(=O)O)c5nc6ccccc6n5C,2.405992359675837,1.3539588640986084,Telmisartan,144701-48-4,5.3,8.4,0.004,11.0,20.0,"Stangier J, Schmid J, Turck D, Switek H, Verhagen A, Peeters PAM, van Marle SP, Tamminga WJ, Sollie FAE, and Jonkman JHG (2000) Absorption, metabolism, and excretion of intravenously and orally administered [14C]telmisartan in healthy volunteers.  J. Clin. Pharmacol. 40: 1312-1322.",,,1992,514.62,6,1,72.9,7,anionic,7.7,4.7
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,7.129283016944966,6.123746122287708,Chloroquine,54-05-7,140.0,4.1,0.43,740.0,570.0,"White NJ (1985) Clinical pharmacokinetics of antimalaria drugs.  Clin. Pharmacokinet.  10: 187-215.  Aderounmu AF, Salako LA, Lindstroem B, Walker O, and Ekman L (1986) Comparison of the pharmacokinetics of chloroquine after single intravenous and intramuscular administration in healthy Africans.  Br. J. Clin. Pharmacol. 22: 559-564.",,,1974,319.87,3,1,28.2,8,cationic,5.3,2.0
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,9.451211111832327,7.032184240783671,Hydroxychloroquine,118-42-3,700.0,11.0,0.57,1300.0,850.0,"Tett SE, Cutler DJ, Day RO, and Brown KF (1988) A dose-ranging study of the pharmacokinetics of hydroxychloroquine following intravenous administration to healthy volunteers. Br, J. Clin. Pharmacol. 26: 303-313.  Brocks DR, Skeith KJ, Johnston C, Emamibafrani J, Davis P, Russell AS, and Jamali F (1994) Hematologic disposition of hydroxychloroquine enantiomers. J. Clin. Pharmacol. 34: 1088-1097. ",,,1891,335.87,4,2,48.4,9,cationic,4.1,1.5
CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C,4.087462841250339,2.9277281703961977,Amlodipine,88150-42-9,17.0,7.0,0.005,40.0,34.0,"Faulkner JK, McGibney D, Chasseaud LF, Perry JL, and Taylor IW (1986) The pharmacokinetics of amlodipine in healthy volunteers after single intravenous and oral doses and after 14 repeated oral doses given once daily. Br. J. Clin. Pharmacol. 22: 21-25.  Kirsten R, Nelson K, Kirsten D, and Heintz B (1998) Clinical  pharmacokinetics  of vasodilators. Part I.  Clin. Pharmacokinet. 34: 457-482.  ",VDss calculated from C vs t data obtained by digitization of the plot in Faulkner et al.,,1983,408.88,7,2,99.9,10,cationic,2.0,0.44
CCOc1ccccc1OCCN[C@H](C)Cc2ccc(OC)c(c2)S(=O)(=O)N,-2.251538766995965,-1.207001200075048,Tamsulosin,106133-20-4,0.21,0.62,0.01,5.6,6.8,"van Hoogdalem E, Soeishi Y, Matsushima H, and Higuchi S (1997) Disposition of the selective alpha1A-adrenoceptor antagonist tamsulosin in humans: comparison with data from interspecies scaling.  J. Pharm. Sci.  86: 1156-1161.  Matsushima H, Kamimura H, Soeishi Y, Watanabe T, Higuchi S, and Tsunoo M (1998) Pharmacokinetics and plasma protein binding of tamsulosin hydrochloride in rats, dogs, and humans.  Drug Metab. Dispos. 26: 240-245.",,,1986,408.51,7,2,99.9,11,cationic,2.5,1.6
CC[C@@]1(c2cc-3n(c(=O)c2COC1=O)Cc4c3nc5ccc(cc5c4)O)O,-2.1844245711374275,-0.9289580002193448,"Hydroxycamptothecin, 10-",19685-09-7,0.22,2.23,,1.63,1.67,"LI Su, ZHANG Li, GUANG Zhong-zhen, ZHAN Jing, LI Yu-yan , JIANG Wen-qi. Absolute bioavailability of hydroxycamptothecin tablets in cancer patients. Chin. J. Clin. Pharmacol. 2005, 22, 46-49.(written in Chinese) ","N=8, 12 mg.m-2 dose, conversion factor 1.73m2/70kg, 30 minutes infusion. Data digitized and PK parameters calculated via PKSolver. AUC reported as 2171 ug.h.L-1 (not specified); AUS (inf) calculated as 2211 ng.h.mL-1. 2% difference.",,1969,364.35,7,2,101.6,1,neutral,1.4,1.4
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,-1.736965594166206,0.0018587185567453,"Sitosterol, β-",83-46-5,0.3,0.02,,250.0,372.4,"Duchateau, Guus; Cochrane, Brett; Windebank, Sam; Herudzinska, Justyna; Sanghera, Davindera; Burian, Angela; Mueller, Markus; Zeitlinger, Markus; Lappin, Graham. Absolute oral bioavailability and metabolic turnover of β-​sitosterol in healthy subjects. Drug Metab. Disp. 2012, 40, 2026-2030.","Nimbosterol. Betaprost. Angelicin. N=6, male volunteers. 2.9 to 4.2 ug doses. 70 kg assumed as average weight. MRT from clearance and VDss.",,1908,414.71,1,1,20.2,6,neutral,9.0,9.0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,5.044394119358453,2.970422258086576,Azithromycin,83905-01-5,33.0,10.0,0.88,57.0,69.0,"Luke DR, Foulds G, Cohen SF, and Levy B (1996) Safety, toleration, and pharmacokinetics of intravenous azithromycin.  Antimic. Agents Chemother.  40: 2577-2581.  Foulds G, Shepard RM, and Johnson RB (1990) The pharmacokinetics of azithromycin in human serum and tissues.  J. Antimic. Chemother. 25(Suppl. A):  73-82.",Protein binding is concentration dependent; cited value measured at concentrations observed after IV dosing.,,1953,748.98,14,5,180.1,7,cationic,2.2,-0.18
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O[C@H]([C@@H](NC(=O)c1ccccc1)c2ccccc2)C(=O)O[C@H]3C[C@@]4(O)[C@@H](OC(=O)c5ccccc5)[C@@H]6[C@@]7(CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(=O)C)C(=C3C)C4(C)C)OC(=O)C,-3.878321443411747,-1.8800185280613704,DHA Paclitaxel,199796-52-6,0.068,0.025,0.0038,45.0,60.0,"Sparreboom A, Wolff AC, Verweij J, Zabelina Y, van Zomeren DM, McIntire GL, Swindell CS, Donehower RC, and Baker SD (2003) Disposition of docosahaenoic acid-paclitaxel, a novel taxane, in blood: in vitro and clinical pharmacokinetic studies.  Clin. Cancer Res. 9: 151-159.",Pharmacokinetic paremeters were calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1997,1164.38,16,3,227.4,30,neutral,9.0,9.0
CN(C)CCNc1ccc2c3c(nn2CCNCCO)c4cnccc4C(=O)c13,5.832890014164741,3.944291305897892,Topixantrone,156090-18-5,57.0,27.0,,39.0,45.0,"Mross K, Scheulen ME, Licht T, Unger C, Richly H, Stern AC, Kutz K, Camboni MG, Barbieri P, Verdi E, Vincenzi B, and Bernareggi A (2004) Phase I clinical and pharmacokinetic study of BBR 3576, a novel aza-anthropyrazole, administered i.v. every 4 weeks in patients with advanced solid tumors: a phase 1 study group trial of the Central European Society of Anticancer Drug Research (CESAR).  Anti-Cancer Drugs 15: 15-22.",BBR 3576,,1994,394.47,8,3,95.3,9,cationic,0.69,-1.4
CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(NC(=O)CNC(C)(C)C)c(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)N(C)C,3.584962500721156,1.9855915442073349,Tigecycline,220620-09-7,12.0,3.8,0.2,53.0,48.0,"Muralidharan G, Micalizzi M, Speth J, Raible D, and Trpy S (2005) Pharmacokinetics of tigecycline after single and multiple doses in healthy subjects.  Antimic. Agents Chemother.  49: 220-229.  Doan TL, Fung HB, Mehta D, and Riska PF (2006) Tigecycline: a glycylcycline antimicrobial agent.  Clin. Ther. 28: 1079-1106.",,,1999,585.65,13,7,205.8,6,cationic,-0.11,-2.9
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,0.6780719051126377,1.7299167039830383,Clozapine,5786-21-0,1.6,2.5,0.055,11.0,10.0,"Cheng YF, Lundberg T, Bondesson U, Lindstrom L, and Gabrielsson J (1988) Clinical pharmacokinetics of clozapine in chronic schizophrenic patients. Eur. J. Clin. Pharmacol. 34: 445-449.   Schaber G, Stevens I, Gaertner HJ, Dietz K, and Breyer-Pfaff U (1998) Pharmacokinetics of clozapine and its metabolites in psychiatric patients: plasma protein binding and renal clearance.  Br. J. Clin. Pharmacol. 46: 453-459. ",,,1963,326.82,4,1,30.9,1,cationic,4.5,4.1
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)C(=O)O)c35,-3.0588936890535687,-1.7115292346581554,Morphine-6-Glucuronide,20290-10-2,0.12,2.2,0.67,0.91,1.4,"Lotsch J, Weiss M, Kobal G, and Geisslinger G (1998) Pharmacokinetics of morphine-6-glucuronide and its formation from morphine after intravenous administration.  Clin. Pharmacol. Ther. 63: 629-639.//ppb: Mashayekhi, S. O.; Ghandforoush-Sattari, M.; Buss, D. C.; Routledge, P. A.; Hain, R. D. W. Impact of anti-​cancer drugs and other determinants on serum protein binding of morphine 6-​glucuronide. Daru, Journal of Faculty of Pharmacy, Tehran University of Medical Sciences, 2010, 18, 107-113.",,,1968,461.46,10,5,149.1,3,zwitterionic,-0.47,-2.4
CNCCCC12CCC(c3ccccc13)c4ccccc24,5.491853096329675,4.3501890615457866,Maprotiline,10262-69-8,45.0,14.0,0.11,54.0,51.0,"Maguire KP, Norman TR, Burrows GD, and Scoggins BA (1980) An evaluation of maprotiline intravenous kinetics and comparison of two oral doses.  Eur. J. Clin. Pharmacol.18: 249-254.  Lynn K, Braithwaite R, Dawling S, and Rosser R (1981) Comparison of the serum protein binding of maprotiline and phenytoin in uraemic patients on haemodialysis.  Eur. J. Clin. Pharmacol. 19: 73-77.","VDss calculated from reported compartmental paramaters included in the reference by Maguire, et al.",,1966,277.4,1,1,12.0,4,cationic,4.1,1.7
CNCC[C@@H](Oc1ccccc1C)c2ccccc2,-0.2344652536370229,0.7738432682961838,Atomoxetine,83015-26-3,0.85,9.3,0.02,1.5,5.2,Strattera Product Label,CYP2D6 EM data MRT is calculated as VD/CL; CL was calculated as CLpo/F (F=63%),,1982,255.35,2,1,21.3,6,cationic,3.6,1.5
CN[C@@H]1C[C@H]2OC(C)([C@@H]1OC)n3c4ccccc4c5c6[C@@H](O)NC(=O)c6c7c8ccccc8n2c7c35,-2.736965594166206,-1.478848720373156,"Hydroxystaurosporine, 7-",112953-11-4,0.15,0.0037,0.0022,680.0,790.0,"Fuse E, Tanii H, Kurata N, Kobayashi H, Shimada Y, Tamura T, Sasaki Y, Tanigawara Y, Lush RD, Headlee D, Figg WD, Arbuck SG, Senderowicz AM, Sausville EA, Akinaga S, Kuwabara T, and Kobayashi S (1998) Unpredicted clinical pharmacology of UCN-01 caused by specific binding to human alpha1-acid glycoprotein.  Canc. Res. 58: 3248-3253.  Dees EC, Baker SD, O'Reilly S, Rudek MA, Davidson SB, Aylesworth C, Elza-Brown K, Carducci MA, and Donehower RC (2005) A phase I and pharmacokinetic study of short infusions of UCN-01 in patients with refractory solid tumors.  Clin. Canc. Res.  11: 664-671.",UCN-01. Used data from 95 mg/m2 group.,,1987,482.53,8,3,89.7,2,cationic,2.5,-0.29
COc1cc2CC[N+](C)(C)[C@@H]3Cc4ccc(O)c(Oc5cc6[C@H](Cc7ccc(Oc(c1O)c23)cc7)N(C)CCc6cc5OC)c4,-1.15200309344505,0.0562385428364148,Tubocurarine,57-94-3,0.45,3.4,0.58,2.2,2.0,"Razman IM, Shanks CA, and Triggs EJ (1978) Studies of d-tubocurarine pharmacokinetics in humans and dogs.  Anaesth. Intens. Care 6: 30-35.  Ghoneim MM, Kramer SE, Bannow R, Pandya H, and Routh JI (1973) Binding of d-tubocurarine to plasma proteins in normal man and in patients with hepatic or renal disease.  Anesthesiol.  39: 410-415.",CAS number reported refers to chloride salt. Parent cation CAS number 57-95-4. Pharmacokinetic parameters determined from reported two-compartment model parameters.,,1935,609.73,8,2,80.6,2,cationic,4.7,3.9
