SMILES,log2CL,log2CL_pred,Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
C(CCC(NCCCCCN(C(C)=O)O)=O)(N(CCCCCNC(CCC(N(CCCCCN)O)=O)=O)O)=O,3.058316495590823,0.57539105,Desferrioxamine,70-51-9,1.35,8.33,,2.7,3.05,"P. LEE, N. MOHAMMED, L. MARSHALL, A. D. ABEYSINGHE, A. C. HIDER, J. B. PORTER, AND S. SINGH. INTRAVENOUS INFUSION PHARMACOKINETICS OF DESFERRIOXAMINE IN
THALASSAEMIC PATIENTS. Drug Metab. Disp. 1993, 21, 640-644.","Deferoxamine. EC 200-738-5. N=11, clearance as dose over AUC appears to be correct. Dose 50 mg/kg/24hr over 48 hours. MRT appears a bit smaller than when calculated from reported AUMC, AUC and clearance. AUC0-inf 354 umol.h.L-1; AUMC0-inf  9170 umol.h2.L-1. All data taken as is from paper. MW 560.69",,1960,560.68,14,6,205.8,23,cationic,-2.6,-5.8
C(CON(=O)=O)N1COc2ccccc2C1=O,4.887037791419196,3.0441697,Sinitrodil,143248-63-9,0.68,29.59,,0.38,0.38,"Monzani MV, Coltro G, Sala A, Sardina M., Pharmacokinetics of ITF 296 (Sinitrodil) a novel organic nitrate, in healthy volunteers. Eur J Pharm Sci, 1999, 7, 179-184. ","Data from 10 mg dose 30-min iv infusion, N=11, 78.08 kg average weight",,1992,238.2,7,0,84.6,4,neutral,1.8,1.8
C(CO[N+](=O)[O-])(CO[N+](=O)[O-])O[N+](=O)[O-],7.602142090697982,2.1502187,Nitroglycerin,55-63-0,,194.3,0.4,,4.5,"Nitroglycerin - FDA Approval Package
Clinical Pharmacology and Biopharmaceutics Review 021359/S-000. Accessed through Pharmapendium.","70 kg assumed. Vd reported as 3 L/kg, but without label. Likely to be VDz. T1/2 ranged from 1.5 to 7.5 minutes. Median point taken.",,1946,227.09,12,0,157.1,8,neutral,1.7,1.7
C(N1CCN(c2nc(nc(n2)NCC=C)NCC=C)CC1)(c1ccc(F)cc1)c1ccc(F)cc1,-0.043943347587597,1.2433474,Almitrine,27469-53-0,35.37,0.97,0.01,607.0,1344.0,"Bernhard R. Winkelmann, Thomas H. Kullmer, Dieter G. Kneissi, Dietmar Trenk, Hartmut Kronenberger. Low-dose Almitrine Bismesylate in the Treatment of Hypoxemia due to Chronic Obstructive Pulmonary Disease. Chest, 1994; 105, 1383-1391.////ppb: Bromet N; Singlas E. Clinical pharmacokinetics of almitrine dimesylate. Presse medicale, 1984, 13, 2071-2077.","N=7, average weight 64 kg. 60 mg dose. VD reported taken as VDss after calculation from clearance and t 1/2 yielded a much higher value. MRT from clearance and VDss.",,1970,477.55,7,2,69.2,10,neutral,6.0,6.0
C(O)CCN1c2c(cc(C[C@H](NCCOc3c(cccc3)OCC(F)(F)F)C)cc2CC1)C(=O)N,1.4854268271702415,2.6952326,Silodosin,160970-54-7,,2.8,0.05,,3.6,"Silodosin - EMA Approval Package
Assessment Report EMEA/H/C/001209. Accessed through Pharmapendium.",2 mg dose administered as iv infusion 0.8 L/kg reported as VD after iv dose but likely to be VDz.,No conclusive data in EMA package,1994,495.53,7,3,97.1,13,cationic,3.0,2.3
C(O)[C@@]12[C@H](C3=CC[C@H]4[C@@]([C@@]3(C[C@H]2O)C)(C)CC[C@@H]2[C@]4(C)CC[C@@H]([C@@]2(CO)C)O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)[C@@H](O)[C@@H]([C@H](O2)C(=O)O)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)CC([C@H]([C@@H]1OC(=O)C)OC(=O)/C(=C/C)/C)(C)C,0.722466024471091,-0.52227575,Escin Ia,123748-68-5,0.28,1.65,,2.85,2.4,"A liquid chromatography–tandem mass spectrometry method for the simultaneous quantification of escin Ia and escin Ib in human plasma: application to a pharmacokinetic study after intravenous administration. Lidong Liu, Xiujun Wu,Dan Wu, Yingwu Wang, Pengfei Li, Yantong Sun, Yan Yang, Jingkai Gua and Yimin Cui. Biomed. Chromatogr. 2010; 24: 1309–1315",Data digitized from plots reported. 3 mg dose. N=10 70 kg average weight assumed. ,,1989,1131.26,24,13,388.0,16,anionic,-1.2,-4.5
C(O)[C@@]12[C@H](C3=CC[C@H]4[C@@]([C@@]3(C[C@H]2O)C)(C)CC[C@@H]2[C@]4(C)CC[C@@H]([C@@]2(CO)C)O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)[C@@H](O)[C@@H]([C@H](O2)C(=O)O)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)CC([C@H]([C@@H]1OC(=O)C)OC(=O)/C(=C\C)/C)(C)C,1.3504972470841332,-0.52227575,Escin Ib,26339-90-2,0.23,2.55,,1.5,1.8,"A liquid chromatography–tandem mass spectrometry method for the simultaneous quantification of escin Ia and escin Ib in human plasma: application to a pharmacokinetic study after intravenous administration. Lidong Liu, Xiujun Wu,Dan Wu, Yingwu Wang, Pengfei Li, Yantong Sun, Yan Yang, Jingkai Gua and Yimin Cui. Biomed. Chromatogr. 2010; 24: 1309–1315",Data digitized from plots reported. 2 mg dose reported. Clearance not corresponding to calculated while AUC within 10%.  N=10 70 kg average weight assumed. ,,1989,1131.26,24,13,388.0,16,anionic,-1.2,-4.5
C(OC(/C=C/C(=C1NC(/C=C/C(O)=O)=O)C=C(C=C1)O)=O)[C@@](C([C@@]([C@]1(C(O)=O)CC2)(CC2(C)C)[H])=CC2)([C@@](C)([C@]2([C@](C)([C@@]2(C(C)(C)C(C3)=O)[H])C3)[H])CC2)CC1,2.925999418556223,0.3241582,S-0139,162059-95-2,1.45,7.6,,3.18,,"Prolonged pharmacodynamic effects of S-0139, an intravenously administered endothelin A (ETA) antagonist, in the human forearm blood flow model  Lunnon, Martin W.; Wallace, Sharon M. L.; Palmer, Joanne E.; Francis-Lang, Andrew; Laurijssens, Bart E.; Mistry, Prafull; Albala, Bruce; Nagafuji, Toshiaki; Wilkinson, Ian B.; Maltby, Kay  British Journal of Clinical Pharmacology (2010), 69(3), 252-261.",Average of 3 doses and 19 subjects total. Data from 3 hours infusion.  VDss from reported Css and dose. No t1/2 reported. MRT = VDss/CL,,1994,729.9,10,4,167.3,9,anionic,6.8,1.7
C(S(=O)(=O)O)CS,4.357552004618084,1.5791878,Mesna,19767-45-4,0.65,20.5,,0.52,0.36,"C. A. JAMES, T. G. K. MANT and  H. J. ROGERS. Pharmacokinetics of intravenous and oral sodium 2-mercaptoethane sulphonate (mesna) in normal subjects  Br. J. clin. Pharmac. (1987), 23, 561-568","N=6, 800 mg dose, first order behavior. VD reported as VDz but taken as VDss. CAS number of the sodium salt and smiles of the free acid.",,1954,142.2,3,1,54.4,2,anionic,-0.71,-4.2
C(SP(O)(O)=O)CNCCCN,4.937815168803419,2.526336,Amifostine,20537-88-6,0.09,30.65,,0.05,0.15," LESLIE M. SHAW, PH.D., ANDREW T. TURRISI, M.D., DONNA J. GLOVER, M.D., HEATHER S. BONNER, B.S., A. LORRAINE NORFLEET, B.S., CLARE WEILER, R.N.
AND MORTON M. KLIGERMAN, M.D. HUMAN PHARMACOKINETICS OF WR-2721. Int. J. Radiation Oncology Bio. Phys.. 1986, 12, 1501-1504.","WR-2721, NSC 296961. 12 patients with different types of tumor. 70.8 kg average weight. 150 mg/m2, 10 seconds injection.",,1969,214.22,5,4,95.6,7,cationic,-1.4,-3.8
C([C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(NCC(N[C@@H](C(N[C@@H](C(C)C)C(O)=O)=O)CC(C)C)=O)=O)CCC(N)=O)=O)CC(C)C)=O)CC(C)C)=O)CCCNC(N)=N)=O)CCC(N)=O)=O)CC(C)C)=O)CCCNC(N)=N)=O)C)=O)CO)=O)CC(O)=O)=O)CCCNC(N)=N)=O)CC(C)C)=O)CCCNC(N)=N)=O)CO)=O)CC(C)C)=O)CCC(O)=O)=O)CO)=O)[C@@H](C)O)=O)NC([C@@H](NC(CNC([C@@H](NC([C@@H](NC([C@@H](Cc1[nH]ccn1)N)=O)CO)=O)CC(O)=O)=O)=O)[C@@H](C)O)=O)c1ccccc1,2.572889668420581,0.25676468,Secretin (porcine),1393-25-5,0.03,5.95,,0.08,0.13,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-136_SecreFlo_BioPharmr.pdf. Accessed on May 17 2017,"Secreflo. Secretin (porcine), 15-L-glutamic acid-16-glycine-. ChiRoClin. MW= 3056.42. Synthetic but identical to porcine peptide. Cross-over study with human peptide N=12, 0.4 ug/kg iv in human. 77.2 kg average weight. Data digitized from plot reported in biopharmaceutics review. No AUC reported. Clearance reported as 487 mL/min. Converted in units of mL.min-1.kg-1 yields 6.31 mL.min-1.kg-1. 6% difference",,1907,3056.39,85,52,1415.7,109,zwitterionic,-9.0,-9.0
C([C@@H](CO)O)O[N+](=O)[O-],1.859969548221026,2.934256,Glyceryl 1-nitrate,624-43-1,0.76,3.63,,4.12,2.5,"H. LAUFEN, M. LEITOLD. Glyceryl-1-nitrate pharmacokinetics in healthy volunteers. Br. J. Clin. Pharmac. (1987), 23, 287-293.","N=10, 20 mg kg dose administered via 1hr infusion, 77.9 kg average weight.",,1949,137.09,6,2,92.8,4,neutral,-0.51,-0.51
"C([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](Cc1ccc(O)cc1)N)=O)C)=O)CC(O)=O)=O)C)=O)[C@@H](CC)C)=O)C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](Cc1ccc(O)cc1)C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(NCC(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](CCCNC(N)=N)C(N)=O)=O)CO)=O)CCSC)=O)[C@@H](CC)C)=O)CC(O)=O)=O)CCC(N)=O)=O)CC(C)C)=O)CC(C)C)=O)CCCCN)=O)CCCNC(N)=N)=O)C)=O)CO)=O)CC(C)C)=O)CCC(N)=O)=O)=O)CC(C)C)=O)C(C)C)=O)CCCCN)=O)CCCNC(N)=N)=O)=O)CO)=O)CC(N)=O)=O)[C@@H](C)O)=O)c1ccccc1
",5.2964574073712445,1.7198126,Sermorelin,86168-78-7,0.34,39.3,,0.14,0.19,Sermorelin Acetate - FDA Approval Package Administrative documents 020443. Accessed through Pharmapendium. ,"Data digitized and VDss calculations performed via Phoenix. Average of 3 doses (0.25, 0.5 and 1 mg). N=12.",no metabolism studies performed in humans.,1982,3357.88,86,52,1446.9,118,cationic,-9.0,-9.0
C([C@@H](N[C@H]1CCc2c(cccc2)N(CC(O)=O)C1=O)CCCCN)(O)=O,0.2986583155645151,1.681377,Libenzapril,109214-55-3,1.98,1.23,,29.3,,"Gregory M. Kochak, PhD, R. Leslie Choi, PhD, Jacqueline K. deSilva, MD, and P. Reydel-Bax, BS. Pharmacodynamic Dependent Disposition of the Angiotensin Converting Enzyme Inhibitor, Libenzapril.J. ClIn Pharmacol 1990;30:138-143","Doses of 1.7 and 4 mg. N=12 73.1 kg average weight. Non linear behavior for MRT and VDss at 12 mg dose, but clearance stable. Data at 1.7 and 4 mg weight-averaged (N=4 and 8, respectively). T1/2 not reported.",,1985,363.41,8,4,133.0,9,anionic,0.21,-2.4
C([C@@H](c1cc(Oc2ccccc2)ccc1)C)(=O)O,-0.7369655941662062,1.2931328,Fenoprofen,29679-58-1,0.1,0.6,0.02,2.8,2.24," Physiological disposition of fenoprofen in man.  II.  Plasma and Urine Pharmacokinetics after Oral and Intravenous Administration. Rubin, Alan; Rodda, Bruce E.; Warrick, Patricia; Ridolfo, Anthony; Gruber, Charles M.  Journal of Pharmaceutical Sciences (1971), 60(12), 1797-801. ppb: Physiological disposition of fenoprofen in man.  III.  Metabolism and protein binding of fenoprofen. Rubin, Alan; Warrick, Patricia; Wolen, Robert L.; Chernish, Stanley M.; Ridolfo, Anthony S.; Gruber, Charles M., Jr. J. Pharmacol. Exp. Ther.  1972, 183, 449-457. ","N=4, data calculated as average of V1+V2; microconstant also available. Median weight 67.5 kg.  MRT = VDss/CL. One-compartment model data used.",,1970,242.27,3,1,46.5,4,anionic,3.2,0.48
C([C@H]1N(CCC1)C([C@@H](Cc1ccccc1)N)=O)(=O)N[C@H](C(N1[C@H](C(=O)NCC(=O)NCC(NCC(=O)NCC(=O)N[C@H](C(NCC(=O)N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@H](C(N[C@H](C(N[C@@H](Cc2ccc(O)cc2)C(N[C@@H](CC(C)C)C(=O)O)=O)=O)CCC(O)=O)=O)CCC(O)=O)[C@H](CC)C)=O)CCC(O)=O)=O)CCC(O)=O)=O)Cc2ccccc2)=O)CC(O)=O)=O)CC(=O)N)=O)CCC1)=O)CCCNC(N)=N,3.017921907997262,0.6398122,Bivalirudin,128270-60-0,0.27,8.1,1.0,0.43,0.42,"Guixiang Pana, Xiaoming Wang, Yuhong Huang, Xiumei Gao, Yuefei Wang. Development and validation of a LC–MS/MS method for determination of bivalirudin in human plasma: Application to a clinical pharmacokinetic study J.Pharm. Biomed. Anal.. 2010, 52 105–109.//CHA IDong, WANG Rui, BA INan, CA IYun LIANG B ei- bei. Pharmacokinetics of bivalirudin injections in Chinese healthy volunteers. Chin. J. Clin Pharmacol. 2011, 27, 280-282.// ppb: https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/090816s000lbl.pdf. Accessed July 14 2014.",Weighted average of data from both papers. N=9 (pana et al) and N=36 (Chai et al.) Doses from 0.5 to 1.05 mg/kg infusion//ppb from fda label. Bivalirudin does not bind to plasma proteins (other than thrombin) or to red blood cells.,,1990,2180.29,57,28,901.6,67,anionic,-6.6,-9.0
C(\[C@@H]1[C@@H]([C@@H](Cl)C[C@@H]1O)C\C=C\CCCC(O)=O)=C\[C@@H](C(CCCC)(C)C)O,3.7224660244710903,1.3017354,Nocloprost,79360-43-3,0.16,13.2,,0.2,0.8,"U. Tiiuber, M. Brudny-Kltippei , U. J akobs , C. Madetzki , and M. Mahler. Pharmacokinetics of nocloprost in human volunteers and its relation to dose. Eur J Clin Pharmacol (1993) 44:497-500",5 ug iv dose. N=10,,1981,400.98,4,3,77.8,12,anionic,5.1,2.6
C(\[C@@H]1[C@H]([C@@H](O)C[C@H]1O)C\C=C/CCCC(=O)NCC)=C\[C@H](CCc1ccccc1)O,4.643856189774724,2.6071045,Bimatoprost,155206-00-1,0.67,25.0,0.12,,0.45,PDR. Accessed February 18 2013. http://www.pdr3d.com/detail.php?c=85286#section-10,"Clearance in blood but no B/P reported. MRT not yet calculable. Following an intravenous dose of radiolabeled bimatoprost (3.12 mcg/kg) to six healthy subjects, the maximum blood concentration of unchanged drug was 12.2 ng/mL and decreased rapidly with an elimination half-life of approximately 45 minutes. The total blood clearance of bimatoprost was 1.5 L/hr/kg. Up to 67% of the administered dose was excreted in the urine while 25% of the dose was recovered in the feces. No true mass balance reported to show whether bimatoprost was intact or not.",,1994,415.57,5,4,89.8,12,neutral,3.3,3.3
C(c1ccco1)(=O)O[C@]1([C@@]2([C@H]([C@@H]3[C@]([C@@]4(C(=CC(=O)C=C4)CC3)C)(Cl)[C@H](C2)O)C[C@H]1C)C)C(CCl)=O,3.6667565918848033,2.64008,Mometasone Furoate,83919-23-7,2.2,12.7,0.01,2.9,4.4,Mometasone Furoate - FDA Approval PackageClinical Pharmacology and Biopharmaceutics Review 021067/S-000. Accessed through Pharmapendium on March7 2013. VDss reported on label in the same package.,70 kg assumed. 400 ug dose.,,1982,521.43,6,1,94.1,5,neutral,4.5,4.5
C1(=O)N2[C@@H]([C@H]1[C@H](O)C)SC(COC(N)=O)=C2C(=O)[O-].[Na+],2.9164766444377164,1.4203713,Ritipenem ,84845-58-9,0.24,7.55,0.72,0.54,0.54,". Weighted data for diverse doses and number of patients (N=61) from Table XII (BW 65-80 kg) in Lovering, A. M.; White, L. O.; Lewis, D. A.; MacGowan, A. P.; Routh, K. R.; Pickin, D. M.; Reeves, D. S.  Pharmacokinetics of FCE 22101 in man following different modes of administration.    Journal of Antimicrobial Chemotherapy  (1989),  23(Suppl. C),  179-95; and from Table 2 in Jannuzzo, M. G.; Mandelli, M.; Strolin Benedetti, M.; Moro, E.; Carnovali, M.; Vaiani, R.; Sassella, D.  Pharmacokinetics and tolerance of a new penem antibiotic, FCF 22101, in healthy volunteers after a single intravenous dose.    European Journal of Clinical Pharmacology  (1989),  36(6),  633-635.    fu in Efthymiopoulos, C.; Battaglia, R.; Strolin Benedetti, M.  Animal pharmacokinetics and interspecies scaling of FCE 22101, a penem antibiotic.    Journal of Antimicrobial Chemotherapy  (1991),  27(4),  517-26.",FCE-22101. In Jannuzzo et al the renal CL = 1.94 mL/min/kg was also reported. CAS number reported refers to sodium salt. Parent compound CAS 84845-57-8.,,1982,310.26,8,2,133.0,5,anionic,-2.1,-5.6
C1(=O)[C@H]([C@@H]2N1C(=C(CS2)Sc1scc(n1)c1cc[n+](cc1)C)C(=O)[O-])NC(=O)/C(=N\OCC)c1nc(sn1)NP(=O)(O)O,6.38543103719352,0.27171683,Ceftaroline fosamil,229016-73-3,0.53,83.6,0.8,0.11,0.09,"Ref. through PP. 2010-Oct-15  PDF(2616k)
Clinical Pharmacology and Biopharmaceutics Review 200327/S-000 Part 01 ","N=18, averaged across 3 doses at 50, 100 and 250 mg (N=6 each).",All metabolic (prodrug),1999,684.68,16,4,223.2,11,anionic,-4.6,-7.1
